idx,formula,n_heavy,DoU,gap_Ha,n_frontier_within_kT,largest_pi_atoms,n_aromatic_atoms
646,C6H10,6,2.0,0.26512,0,0,0
260,C3H7NO2,6,1.0,0.26543,0,3,0
595,C4H6N2,6,3.0,0.26565,0,0,0
621,C3H6N2O,6,2.0,0.26627,0,3,0
576,C5H7N,6,3.0,0.26659,0,0,0
764,C2HNO3,6,3.0,0.26692,0,6,5
171,C2H2N2O,5,3.0,0.26707,0,5,5
161,C3H4N2,5,3.0,0.26739,0,5,5
466,C4H8O2,6,1.0,0.26739,0,0,0
419,C3H5NO2,6,2.0,0.26744,0,3,0
510,C4H9NO,6,1.0,0.26758,0,3,0
356,C3H6O3,6,1.0,0.26784,0,3,0
647,C4H7NO,6,2.0,0.2679,0,3,0
724,C3H5N3,6,3.0,0.2679,0,5,5
352,C3H7NO2,6,1.0,0.26802,0,3,0
279,C4H9NO,6,1.0,0.26819,0,3,0
726,C4H6N2,6,3.0,0.26843,0,5,5
731,C3H4N2O,6,3.0,0.26887,0,5,5
77,C2H5NO2,5,1.0,0.26911,0,3,0
320,C4H4N2,6,4.0,0.26928,0,0,0
370,C3H7N3,6,2.0,0.26941,0,0,0
514,C4H9NO,6,1.0,0.26943,0,3,0
136,C4H5N,5,3.0,0.26953,0,0,0
453,C4H7NO,6,2.0,0.2698,0,3,0
116,C3H7NO,5,1.0,0.26982,0,3,0
321,C3H3N3,6,4.0,0.26984,0,0,0
727,C3H5N3,6,3.0,0.2699,0,5,5
563,C5H7N,6,3.0,0.27003,0,0,0
542,C5H6O,6,3.0,0.27034,0,0,0
612,C4H9NO,6,1.0,0.27039,0,0,0
165,C2H3N3,5,3.0,0.27074,0,5,5
736,C3H5N3,6,3.0,0.27091,0,5,5
377,C4H9NO,6,1.0,0.27108,0,3,0
769,C2H3N3O,6,3.0,0.27109,0,6,5
153,C3H5NO,5,2.0,0.27114,0,3,0
450,C4H7NO,6,2.0,0.2712,0,3,0
448,C4H7NO,6,2.0,0.27147,0,3,0
168,C2H2N2O,5,3.0,0.27155,0,5,5
76,C2H5NO2,5,1.0,0.27198,0,3,0
67,C3H7NO,5,1.0,0.27305,0,3,0
114,C4H6O,5,2.0,0.27317,0,0,0
628,C4H9NO,6,1.0,0.27318,0,0,0
508,C5H8O,6,2.0,0.27338,0,0,0
322,C5H4O,6,4.0,0.27349,0,0,0
261,C3H7NO2,6,1.0,0.27351,0,3,0
369,C3H6N2O,6,2.0,0.27356,0,0,0
487,C4H5NO,6,3.0,0.27399,0,3,0
358,C4H9NO,6,1.0,0.27404,0,3,0
31,C2H4N2,4,2.0,0.2741,0,0,0
573,C4H7NO,6,2.0,0.27419,0,3,0
688,C4H6N2,6,3.0,0.2744,0,,
702,C4H5NO,6,3.0,0.27449,0,0,0
231,C4H5NO,6,3.0,0.27453,0,3,0
242,C2H4N2O2,6,2.0,0.27477,0,6,0
395,C5H6O,6,3.0,0.27495,0,0,0
372,C4H6O2,6,2.0,0.27497,0,0,0
509,C4H6O2,6,2.0,0.27501,0,0,0
489,C4H4O2,6,3.0,0.27511,0,3,0
439,C4H7NO,6,2.0,0.27516,0,3,0
590,C5H7N,6,3.0,0.27536,0,0,0
278,C3H7NO2,6,1.0,0.27574,0,3,0
567,C4H6N2,6,3.0,0.27604,0,0,0
577,C5H6O,6,3.0,0.27611,0,0,0
294,C5H11N,6,1.0,0.27617,0,0,0
280,C3H8N2O,6,1.0,0.27634,0,4,0
694,C4H8N2,6,2.0,0.27643,0,0,0
574,C4H6O2,6,2.0,0.27647,0,3,0
546,C4H5NO,6,3.0,0.27657,0,0,0
697,C6H8,6,3.0,0.27658,0,0,0
163,C2H3N3,5,3.0,0.2766,0,5,5
442,C3H4O3,6,2.0,0.27665,0,3,0
488,C3H4N2O,6,3.0,0.27665,0,3,0
256,C4H9NO,6,1.0,0.27731,0,3,0
684,C4H7NO,6,2.0,0.27755,0,0,0
609,C5H11N,6,1.0,0.27765,0,0,0
568,C4H7NO,6,2.0,0.27771,0,3,0
484,C3H4N2O,6,3.0,0.27788,0,3,0
483,C4H5NO,6,3.0,0.2779,0,3,0
304,C4H9NO,6,1.0,0.27805,0,0,0
575,C6H8,6,3.0,0.27818,0,0,0
565,C4H6N2,6,3.0,0.27828,0,0,0
490,C3H3NO2,6,3.0,0.27842,0,3,0
18,C2H5NO,4,1.0,0.27871,0,3,0
276,C4H9NO,6,1.0,0.27876,0,3,0
373,C3H5NO2,6,2.0,0.27892,0,0,0
255,C4H9NO,6,1.0,0.27895,0,3,0
552,C4H7NO,6,2.0,0.279,0,3,0
440,C4H6O2,6,2.0,0.27901,0,3,0
350,C4H9NO,6,1.0,0.27903,0,3,0
677,C4H4O2,6,3.0,0.27929,0,3,0
70,C3H7NO,5,1.0,0.27932,0,3,0
232,C3H4N2O,6,3.0,0.27939,0,3,0
592,C5H6O,6,3.0,0.27945,0,0,0
24,C2N2,4,4.0,0.27955,0,4,0
710,C5H5N,6,4.0,0.27958,0,0,0
620,C4H7NO,6,2.0,0.27961,0,3,0
415,C4H7NO,6,2.0,0.27982,0,3,0
139,C3H4N2,5,3.0,0.28003,0,0,0
530,C3H7NO2,6,1.0,0.28008,0,3,0
71,C3H7NO,5,1.0,0.28039,0,3,0
596,C5H6O,6,3.0,0.28041,0,0,0
670,C4H5NO,6,3.0,0.28041,0,3,0
410,C4H7NO,6,2.0,0.28052,0,3,0
262,C3H7NO2,6,1.0,0.2806,0,3,0
32,C3H4O,4,2.0,0.2807,0,0,0
98,C4H9N,5,1.0,0.28088,0,0,0
513,C5H8O,6,2.0,0.28128,0,0,0
412,C4H6O2,6,2.0,0.28142,0,3,0
125,C3H7NO,5,1.0,0.28168,0,3,0
611,C5H11N,6,1.0,0.28173,0,0,0
525,C4H9NO,6,1.0,0.28188,0,3,0
420,C3H5NO2,6,2.0,0.28192,0,3,0
532,C3H6O3,6,1.0,0.28205,0,3,0
249,C4H9NO,6,1.0,0.28212,0,3,0
323,C4H3NO,6,4.0,0.28213,0,0,0
531,C3H7NO2,6,1.0,0.28219,0,3,0
623,C3H6N2O,6,2.0,0.28226,0,4,0
137,C4H4O,5,3.0,0.28259,0,0,0
689,C4H5NO,6,3.0,0.28299,0,,
547,C4H5NO,6,3.0,0.28319,0,0,0
308,C5H9N,6,2.0,0.28323,0,0,0
353,C3H8N2O,6,1.0,0.28337,0,4,0
543,C5H6O,6,3.0,0.28407,0,0,0
35,C2H5NO,4,1.0,0.28419,0,3,0
120,C4H6O,5,2.0,0.28436,0,0,0
588,C6H8,6,3.0,0.28445,0,0,0
11,CH3NO,3,1.0,0.28448,0,3,0
250,C4H8O2,6,1.0,0.28455,0,3,0
518,C5H8O,6,2.0,0.28462,0,0,0
526,C4H8O2,6,1.0,0.28468,0,3,0
390,C5H7N,6,3.0,0.28476,0,0,0
126,C3H6O2,5,1.0,0.28502,0,3,0
258,C4H8O2,6,1.0,0.28537,0,3,0
473,C4H6O2,6,2.0,0.28541,0,0,0
100,C3H6O2,5,1.0,0.2855,0,0,0
297,C4H7NO,6,2.0,0.28553,0,3,0
425,C4H8O2,6,1.0,0.28582,0,0,0
435,C4H7NO,6,2.0,0.28589,0,3,0
614,C4H8O2,6,1.0,0.28619,0,0,0
298,C4H6O2,6,2.0,0.28623,0,3,0
74,C3H6O2,5,1.0,0.28632,0,3,0
644,C4H6O2,6,2.0,0.2864,0,,
288,C4H8O2,6,1.0,0.28642,0,0,0
693,C5H9N,6,2.0,0.28656,0,0,0
392,C5H6O,6,3.0,0.28662,0,0,0
257,C3H8N2O,6,1.0,0.28666,0,4,0
150,C3H7NO,5,1.0,0.28668,0,0,0
591,C4H6N2,6,3.0,0.28688,0,0,0
135,C5H6,5,3.0,0.28709,0,0,0
408,C4H8O2,6,1.0,0.28713,0,0,0
95,C3H6O2,5,1.0,0.28722,0,0,0
668,C4H7NO,6,2.0,0.2873,0,0,0
411,C4H7NO,6,2.0,0.28755,0,3,0
36,C2H4O2,4,1.0,0.28757,0,3,0
351,C4H8O2,6,1.0,0.2876,0,3,0
228,C5H8O,6,2.0,0.28797,0,0,0
72,C2H6N2O,5,1.0,0.28798,0,4,0
88,C3H4O2,5,2.0,0.28802,0,3,0
700,C5H7N,6,3.0,0.28816,0,0,0
507,C6H10,6,2.0,0.28821,0,0,0
496,C6H6,6,4.0,0.28836,0,0,0
363,C4H8N2,6,2.0,0.28848,0,0,0
62,C3H6N2,5,2.0,0.28849,0,0,0
682,C4H7NO,6,2.0,0.2885,0,0,0
87,C3H5NO,5,2.0,0.28874,0,3,0
462,C4H8O2,6,1.0,0.28948,0,0,0
633,C4H7NO,6,2.0,0.28948,0,0,0
367,C5H8O,6,2.0,0.28951,0,0,0
295,C4H7NO,6,2.0,0.29002,0,3,0
85,C3H5NO,5,2.0,0.2903,0,3,0
436,C3H5NO2,6,2.0,0.29035,0,3,0
560,C4H8O2,6,1.0,0.29038,0,0,0
519,C4H7NO,6,2.0,0.29083,0,0,0
497,C5H5N,6,4.0,0.29085,0,0,0
426,C4H8O2,6,1.0,0.29088,0,0,0
664,C5H8O,6,2.0,0.29101,0,0,0
286,C5H10O,6,1.0,0.29113,0,0,0
121,C3H5NO,5,2.0,0.29117,0,0,0
387,C3H8O3,6,0.0,0.29123,0,0,0
470,C5H8O,6,2.0,0.29141,0,0,0
626,C5H11N,6,1.0,0.2917,0,0,0
580,C5H11N,6,1.0,0.29181,0,0,0
703,C4H4O2,6,3.0,0.29184,0,0,0
458,C5H10O,6,1.0,0.29207,0,0,0
605,C4H9NO,6,1.0,0.29241,0,0,0
658,C4H6O2,6,2.0,0.29289,0,0,0
19,CH4N2O,4,1.0,0.29306,0,4,0
690,C4H4O2,6,3.0,0.29316,0,,
310,C4H7NO,6,2.0,0.29324,0,,
593,C4H5NO,6,3.0,0.29356,0,0,0
364,C5H8O,6,2.0,0.29389,0,0,0
699,C5H6O,6,3.0,0.29398,0,0,0
73,C3H7NO,5,1.0,0.29413,0,3,0
391,C4H6N2,6,3.0,0.29413,0,0,0
464,C5H10O,6,1.0,0.29414,0,0,0
215,C4H8N2,6,2.0,0.29433,0,0,0
631,C5H8O,6,2.0,0.29435,0,0,0
424,C5H10O,6,1.0,0.29462,0,0,0
402,C4H9NO,6,1.0,0.29464,0,0,0
555,C5H10O,6,1.0,0.29464,0,0,0
285,C5H10O,6,1.0,0.29471,0,0,0
583,C4H9NO,6,1.0,0.29481,0,0,0
457,C5H10O,6,1.0,0.29486,0,0,0
396,C4H5NO,6,3.0,0.2949,0,0,0
394,C4H6N2,6,3.0,0.29495,0,0,0
227,C6H10,6,2.0,0.29499,0,0,0
317,C6H6,6,4.0,0.29528,0,0,0
147,C4H9N,5,1.0,0.29529,0,0,0
388,C6H8,6,3.0,0.29544,0,0,0
115,C5H8,5,2.0,0.29562,0,0,0
63,C4H6O,5,2.0,0.29569,0,0,0
103,C5H4,5,4.0,0.29603,0,0,0
443,C3H6N2O,6,2.0,0.29616,0,4,0
45,C3H6O,4,1.0,0.29637,0,0,0
469,C5H8O,6,2.0,0.29664,0,0,0
385,C4H10O2,6,0.0,0.29671,0,0,0
512,C6H10,6,2.0,0.2972,0,0,0
44,C3H7N,4,1.0,0.2973,0,0,0
33,C2H3NO,4,2.0,0.2975,0,0,0
93,C4H8O,5,1.0,0.29754,0,0,0
216,C5H8O,6,2.0,0.29762,0,0,0
632,C5H8O,6,2.0,0.29763,0,0,0
324,C3H2N2O,6,4.0,0.29783,0,0,0
695,C4H7NO,6,2.0,0.29805,0,0,0
140,C3H3NO,5,3.0,0.29825,0,0,0
707,C5H7N,6,3.0,0.29836,0,0,0
687,C5H6O,6,3.0,0.29856,0,,
656,C5H8O,6,2.0,0.29867,0,0,0
305,C4H8O2,6,1.0,0.29882,0,0,0
557,C4H8O2,6,1.0,0.29884,0,0,0
467,C3H6O3,6,1.0,0.299,0,0,0
597,C4H5NO,6,3.0,0.29911,0,0,0
642,C5H8O,6,2.0,0.29927,0,,
666,C4H6O2,6,2.0,0.29948,0,0,0
224,C5H12O,6,0.0,0.29973,0,0,0
318,C5H5N,6,4.0,0.30041,0,0,0
815,C2H4F3N,6,0.0,0.30041,0,0,0
477,C6H6,6,4.0,0.30048,0,0,0
307,C5H8O,6,2.0,0.30055,0,,
680,C5H8O,6,2.0,0.30061,0,0,0
653,C5H8O,6,2.0,0.30088,0,0,0
78,C3H8O2,5,0.0,0.301,0,0,0
41,C2H6O2,4,0.0,0.30148,0,0,0
511,C5H8O,6,2.0,0.30194,0,0,0
639,C5H8O,6,2.0,0.3021,0,0,0
393,C4H5NO,6,3.0,0.30212,0,0,0
368,C4H7NO,6,2.0,0.30239,0,0,0
657,C5H8O,6,2.0,0.30239,0,0,0
290,C4H8O2,6,1.0,0.30255,0,0,0
292,C5H10O,6,1.0,0.30255,0,0,0
104,C4H3N,5,4.0,0.30287,0,0,0
541,C6H8,6,3.0,0.30315,0,0,0
709,C6H6,6,4.0,0.30315,0,0,0
156,C4H8O,5,1.0,0.30317,0,0,0
437,C3H5NO2,6,2.0,0.30324,0,4,0
478,C5H5N,6,4.0,0.30354,0,0,0
302,C5H10O,6,1.0,0.3036,0,0,0
406,C5H10O,6,1.0,0.30372,0,0,0
649,C5H10O,6,1.0,0.30385,0,0,0
283,C4H10O2,6,0.0,0.30399,0,0,0
554,C5H10O,6,1.0,0.30408,0,0,0
92,C4H8O,5,1.0,0.30409,0,0,0
708,C5H6O,6,3.0,0.30429,0,0,0
47,C3H6O,4,1.0,0.30436,0,0,0
521,C4H7NO,6,2.0,0.30462,0,0,0
54,C4H10O,5,0.0,0.3047,0,0,0
562,C5H6O,6,3.0,0.30475,0,0,0
287,C5H10O,6,1.0,0.30487,0,0,0
84,C4H8O,5,1.0,0.305,0,0,0
423,C5H10O,6,1.0,0.30503,0,0,0
223,C5H12O,6,0.0,0.30514,0,0,0
587,C4H9NO,6,1.0,0.3053,0,0,0
654,C4H6O2,6,2.0,0.30543,0,0,0
650,C4H8O2,6,1.0,0.30561,0,0,0
538,C4H10O2,6,0.0,0.30566,0,0,0
559,C4H8O2,6,1.0,0.30575,0,0,0
556,C5H10O,6,1.0,0.30601,0,0,0
1,H3N,1,0.0,0.30606,0,0,0
681,C5H8O,6,2.0,0.30611,0,0,0
268,C5H12O,6,0.0,0.30632,0,0,0
81,C4H10O,5,0.0,0.3067,0,0,0
520,C5H8O,6,2.0,0.30683,0,0,0
522,C5H8O,6,2.0,0.30687,0,0,0
615,C4H8O2,6,1.0,0.30697,0,0,0
282,C5H12O,6,0.0,0.30735,0,0,0
613,C5H10O,6,1.0,0.30751,0,0,0
159,C4H6O,5,2.0,0.30786,0,0,0
686,C5H7N,6,3.0,0.30786,0,,
243,C6H10,6,2.0,0.30792,0,0,0
60,C5H8,5,2.0,0.30802,0,0,0
383,C5H12O,6,0.0,0.30802,0,0,0
704,C5H7N,6,3.0,0.30806,0,0,0
444,C3H5NO2,6,2.0,0.3081,0,4,0
407,C5H10O,6,1.0,0.30814,0,0,0
361,C6H10,6,2.0,0.30815,0,0,0
28,C4H6,4,2.0,0.3083,0,0,0
303,C5H10O,6,1.0,0.30848,0,0,0
640,C5H8O,6,2.0,0.30849,0,,
29,C4H6,4,2.0,0.30853,0,0,0
523,C4H7NO,6,2.0,0.30859,0,0,0
386,C4H10O2,6,0.0,0.30898,0,0,0
265,C4H10O2,6,0.0,0.30905,0,0,0
461,C5H10O,6,1.0,0.30921,0,0,0
561,C6H8,6,3.0,0.30945,0,0,0
643,C5H8O,6,2.0,0.30967,0,,
459,C4H8O2,6,1.0,0.30972,0,0,0
706,C5H7N,6,3.0,0.3099,0,0,0
515,C6H10,6,2.0,0.30999,0,0,0
365,C4H7NO,6,2.0,0.31004,0,0,0
581,C5H10O,6,1.0,0.3101,0,0,0
269,C5H12O,6,0.0,0.31023,0,0,0
468,C6H10,6,2.0,0.31033,0,0,0
289,C5H10O,6,1.0,0.3105,0,0,0
117,C5H8,5,2.0,0.31057,0,0,0
535,C5H12O,6,0.0,0.31061,0,0,0
21,C3H8O,4,0.0,0.31064,0,0,0
536,C5H12O,6,0.0,0.31064,0,0,0
566,C4H5NO,6,3.0,0.31108,0,0,0
359,C5H8O,6,2.0,0.31129,0,0,0
246,C4H7NO,6,2.0,0.31137,0,0,0
380,C4H10O2,6,0.0,0.31153,0,0,0
80,C4H10O,5,0.0,0.31166,0,0,0
665,C5H8O,6,2.0,0.31171,0,0,0
131,C4H10O,5,0.0,0.31172,0,0,0
64,C3H5NO,5,2.0,0.31188,0,0,0
270,C4H10O2,6,0.0,0.31198,0,0,0
608,C5H10O,6,1.0,0.31207,0,0,0
221,C4H10O2,6,0.0,0.31208,0,0,0
132,C4H10O,5,0.0,0.31221,0,0,0
217,C4H7NO,6,2.0,0.31229,0,0,0
97,C4H8O,5,1.0,0.31231,0,0,0
267,C5H12O,6,0.0,0.31273,0,0,0
471,C5H8O,6,2.0,0.31276,0,0,0
148,C4H8O,5,1.0,0.31277,0,0,0
384,C5H12O,6,0.0,0.31281,0,0,0
472,C5H8O,6,2.0,0.31282,0,0,0
220,C5H12O,6,0.0,0.3129,0,0,0
94,C4H8O,5,1.0,0.31309,0,0,0
245,C5H8O,6,2.0,0.31325,0,0,0
589,C5H7N,6,3.0,0.31325,0,0,0
463,C6H12,6,1.0,0.31366,0,0,0
134,C3H8O2,5,0.0,0.31367,0,0,0
40,C3H8O,4,0.0,0.31369,0,0,0
604,C5H10O,6,1.0,0.31369,0,0,0
582,C5H10O,6,1.0,0.31387,0,0,0
655,C6H10,6,2.0,0.31405,0,0,0
354,C3H7NO2,6,1.0,0.31409,0,4,0
635,C4H6O2,6,2.0,0.31412,0,0,0
401,C5H10O,6,1.0,0.3143,0,0,0
14,C2H6O,3,0.0,0.3145,0,0,0
102,C4H6O,5,2.0,0.31467,0,,
627,C5H10O,6,1.0,0.31497,0,0,0
293,C5H10O,6,1.0,0.31503,0,0,0
691,C6H10,6,2.0,0.31545,0,0,0
122,C4H6O,5,2.0,0.31551,0,0,0
537,C4H10O2,6,0.0,0.31551,0,0,0
157,C3H6O2,5,1.0,0.31599,0,0,0
540,C4H10O2,6,0.0,0.31648,0,0,0
13,C2H6O,3,0.0,0.31654,0,0,0
149,C4H8O,5,1.0,0.3166,0,0,0
291,C6H12,6,1.0,0.31678,0,0,0
460,C4H8O2,6,1.0,0.31684,0,0,0
539,C4H10O2,6,0.0,0.31689,0,0,0
382,C5H12O,6,0.0,0.31691,0,0,0
558,C5H10O,6,1.0,0.31699,0,0,0
264,C5H12O,6,0.0,0.3172,0,0,0
678,C6H10,6,2.0,0.31742,0,0,0
405,C5H10O,6,1.0,0.31764,0,0,0
133,C3H8O2,5,0.0,0.31782,0,0,0
213,C6H10,6,2.0,0.31825,0,0,0
138,C4H5N,5,3.0,0.3183,0,0,0
812,C3HF3,6,2.0,0.3184,0,0,0
679,C5H8O,6,2.0,0.3187,0,0,0
534,C5H12O,6,0.0,0.31883,0,0,0
130,C4H10O,5,0.0,0.31888,0,0,0
585,C5H10O,6,1.0,0.31916,0,0,0
39,C3H8O,4,0.0,0.31929,0,0,0
360,C4H7NO,6,2.0,0.31938,0,0,0
7,CH4O,2,0.0,0.31954,0,0,0
584,C4H8O2,6,1.0,0.3196,0,0,0
83,C4H8O,5,1.0,0.31982,0,0,0
8,C3H4,3,2.0,0.32003,0,0,0
123,C3H5NO,5,2.0,0.32037,0,0,0
259,C3H7NO2,6,1.0,0.32052,0,4,0
309,C5H8O,6,2.0,0.32055,0,,
634,C5H8O,6,2.0,0.32064,0,0,0
667,C5H8O,6,2.0,0.3212,0,0,0
683,C4H6O2,6,2.0,0.32137,0,0,0
75,C2H5NO2,5,1.0,0.32152,0,4,0
625,C5H10O,6,1.0,0.32166,0,0,0
586,C4H8O2,6,1.0,0.32227,0,0,0
705,C6H8,6,3.0,0.32266,0,0,0
403,C4H8O2,6,1.0,0.32271,0,0,0
610,C5H10O,6,1.0,0.32277,0,0,0
389,C5H7N,6,3.0,0.32301,0,0,0
99,C4H8O,5,1.0,0.32305,0,0,0
651,C4H8O2,6,1.0,0.32309,0,0,0
404,C6H12,6,1.0,0.32326,0,0,0
158,C5H8,5,2.0,0.32425,0,0,0
669,C4H6O2,6,2.0,0.32469,0,0,0
663,C6H10,6,2.0,0.32482,0,0,0
652,C6H10,6,2.0,0.32513,0,0,0
82,C5H10,5,1.0,0.32604,0,0,0
606,C4H8O2,6,1.0,0.32664,0,0,0
692,C5H8O,6,2.0,0.32669,0,0,0
579,C5H10O,6,1.0,0.3267,0,0,0
160,C4H6O,5,2.0,0.32842,0,0,0
607,C6H12,6,1.0,0.32843,0,0,0
96,C5H10,5,1.0,0.32844,0,0,0
816,C2H3F3O,6,0.0,0.32967,0,0,0
629,C4H8O2,6,1.0,0.32983,0,0,0
151,C3H6O2,5,1.0,0.33001,0,0,0
146,C4H8O,5,1.0,0.33014,0,0,0
445,C3H4O3,6,2.0,0.33133,0,4,0
696,C4H6O2,6,2.0,0.33167,0,0,0
319,C4H4N2,6,4.0,0.33228,0,0,0
3,C2H2,2,2.0,0.33239,0,0,0
630,C6H10,6,2.0,0.33363,0,0,0
43,C3H6O,4,1.0,0.33407,0,0,0
564,C5H7N,6,3.0,0.33486,0,0,0
105,C3H2N2,5,4.0,0.33622,0,0,0
2,H2O,1,0.0,0.33718,0,0,0
544,C5H7N,6,3.0,0.33721,0,0,0
578,C6H12,6,1.0,0.33796,0,0,0
624,C6H12,6,1.0,0.33959,0,0,0
422,C6H12,6,1.0,0.34043,0,0,0
16,C2H4O,3,1.0,0.34119,0,0,0
284,C6H12,6,1.0,0.34137,0,0,0
479,C4H4N2,6,4.0,0.34154,0,0,0
145,C5H10,5,1.0,0.34209,0,0,0
42,C4H8,4,1.0,0.34509,0,0,0
301,C6H12,6,1.0,0.34642,0,0,0
244,C5H9N,6,2.0,0.34671,0,0,0
362,C5H9N,6,2.0,0.3471,0,0,0
61,C4H7N,5,2.0,0.34803,0,0,0
553,C6H12,6,1.0,0.34918,0,0,0
30,C3H5N,4,2.0,0.34967,0,0,0
516,C5H9N,6,2.0,0.34988,0,0,0
648,C6H12,6,1.0,0.35094,0,0,0
118,C4H7N,5,2.0,0.35102,0,0,0
91,C5H10,5,1.0,0.35478,0,0,0
222,C6H14,6,0.0,0.35532,0,0,0
214,C5H9N,6,2.0,0.35802,0,0,0
281,C6H14,6,0.0,0.35938,0,0,0
638,C6H10,6,2.0,0.35975,0,0,0
456,C6H12,6,1.0,0.36069,0,0,0
813,C2F3N,6,2.0,0.36109,0,0,0
641,C6H10,6,2.0,0.36232,0,,
155,C5H10,5,1.0,0.36268,0,0,0
381,C6H14,6,0.0,0.36273,0,0,0
306,C6H10,6,2.0,0.36315,0,,
266,C6H14,6,0.0,0.36461,0,0,0
46,C4H8,4,1.0,0.36519,0,0,0
53,C5H12,5,0.0,0.36522,0,0,0
9,C2H3N,3,2.0,0.36539,0,0,0
15,C3H6,3,1.0,0.36566,0,0,0
79,C5H12,5,0.0,0.36685,0,0,0
533,C6H14,6,0.0,0.3683,0,0,0
20,C4H10,4,0.0,0.37238,0,0,0
101,C5H8,5,2.0,0.37467,0,,
129,C5H12,5,0.0,0.37483,0,0,0
685,C6H8,6,3.0,0.37804,0,,
38,C4H10,4,0.0,0.37957,0,0,0
4,CHN,2,2.0,0.3812,0,0,0
12,C3H8,3,0.0,0.38483,0,0,0
6,C2H6,2,0.0,0.40584,0,0,0
817,C3H5F3,6,0.0,0.41853,0,0,0
0,CH4,1,0.0,0.46289,0,0,0
180,CF4,5,0.0,0.6143,0,0,0
